TERM,PART_OF_TERM,COLLEGE,DEPT,COURSE,SECT,CRN,TYPE,MIN CREDITS,MAX CREDITS,TITLE,CROSS-LIST,MAX SIZE,ACTUAL ENROLLMENT,WAITLIST MAX,WAITLIST ACTUAL,PRIMARY INSTRUCTOR FIRST NAME,PRIMARY INSTRUCTOR LAST NAME,SECONDARY INSTRUCTOR FIRST NAME,SECONDARY INSTRUCTOR LAST NAME,START DATE,END DATE,MON-IND,TUE-IND,WED-IND,THU-IND,FRI-IND,SAT-IND,SUN-IND,BEGIN TIME,END TIME,BLD,ROOM,MODALITY CODE,MODALITY TEXT
202310,Full Term,VCU Life Sciences,ENVS,ENVS310,901,21937,LEC,3,3,INTRODUCTION TO OCEANOGRAPHY,,0,14,0,0,Steven,Oden,,,8/23/22,12/12/22,M,,,,,,,1900,2140,ONLNE,,ROND,Online-synchronous instruction
202310,Full Term,VCU Life Sciences,ENVS,ENVS311,1,34188,LEC,3,3,POLITICS OF THE ENVIRONMENT,Same as POLI 311,120,69,0,0,J,Fox,,,8/23/22,12/12/22,M,,W,,F,,,1300,1350,HIBBS,203,RINP,Face-to-Face instruction
202310,Full Term,VCU Life Sciences,ENVS,ENVS314,1,43728,LEC,3,3,MAN AND ENVIRONMENT,,24,23,0,0,Salvatore,Agosta,,,8/23/22,12/12/22,,T,,R,,,,930,1045,LFSCB,253,RINP,Face-to-Face instruction
202310,Full Term,VCU Life Sciences,ENVS,ENVS321,901,41008,LEC,3,3,CARTOGRAPHY,,20,23,0,0,Lee,Carpenter,,,8/23/22,12/12/22,M,,,,,,,1600,1840,HHALL,3130,RINP,Face-to-Face instruction
202310,Full Term,VCU Life Sciences,ENVS,ENVS330,901,12717,LEC,3,3,ENVIRONMENTAL POLLUTION,Same as BIOL 332,139,70,0,0,Stephen,McIninch,,,8/23/22,12/12/22,,,W,,,,,1900,2140,LFSCB,155,RINP,Face-to-Face instruction
202310,Full Term,VCU Life Sciences,ENVS,ENVS332,901,28065,LEC,3,3,ENVIRONMENTAL MANAGEMENT,Same as URSP 332,1,1,0,0,Anna,Salzberg,,,8/23/22,12/12/22,,,,,,,,,,ONLNE,OL,RONC,Hybrid-asynchronous instruct
202310,Full Term,VCU Life Sciences,ENVS,ENVS332,901,28065,LEC,3,3,ENVIRONMENTAL MANAGEMENT,Same as URSP 332,1,1,0,0,Anna,Salzberg,,,8/23/22,12/12/22,M,,,,,,,1600,1840,MCALC,1100,RONC,Hybrid-asynchronous instruct
202310,Full Term,VCU Life Sciences,ENVS,ENVS343,1,40844,LEC,4,4,DATA LITERACY,Environmental Data Literacy,25,25,0,0,Daniel,Albrecht-Mallinger,,,8/23/22,12/12/22,,T,,R,,,,1530,1710,LFSCB,251,RINP,Face-to-Face instruction
202310,Full Term,VCU Life Sciences,ENVS,ENVS360,1,43745,LEC,3,3,CANCELLED,,0,0,0,0,,,,,.,.,,,,,,,,,,,,RINP,Face-to-Face instruction
202310,Full Term,VCU Life Sciences,ENVS,ENVS368,901,44326,LEC,3,3,NATURE WRITING,Same as ENGL 368,24,4,0,0,Leslie,Shiel,,,8/23/22,12/12/22,M,,W,,,,,1600,1715,HIBBS,207,RINP,Face-to-Face instruction
